Acronym,Name,Rank,URL,Abstract Deadline,Submission Deadline,Notification Date,Timezone,Topics,Short Description,Other Tracks,Confidence Score,Status
ICSME,"IEEE International Conference on Software Maintenance and Evolution (prior to 2014 was ICSM, IEEE International Conference on Software Maintenance)",A,https://icsme.github.io/,,,,,,,N/A,10,Wrong Edition / Date Not Found
ICSOC,International Conference on Service Oriented Computing,A,,,,,,,,,10,Wrong Edition / Date Not Found
ICST,"International Conference on Software Testing, Verification and Validation",A,https://conf.researchr.org/info/icst-2027/,,2026-11-02,2026-12-22,,"software testing research, real-world challenges, innovation, reproducibility, empirical evaluation of software testing techniques",The ICST 2027 Challenge Competition Track is a new initiative aimed at strengthening the connection between software testing research and real-world challenges from both academia and industry.,"Artifact Evaluation: None | Challenge Competition Track: None | Education: None | Industry: None | Journal-First Papers: None | Posters: None | Short Papers, Vision and Emerging Results: None | Testing Tools and Data Showcase: None | Tutorials: None | Workshops: None",10,Success (Official Site)
IJCAR,International Joint Conference on Automated Reasoning,A,N/A,,,,,,,N/A,10,Wrong Edition / Date Not Found
IMC,Internet Measurement Conference,A,,,,,,,,,10,Wrong Edition / Date Not Found
IPDPS,IEEE International Parallel and Distributed Processing Symposium (was IPPS and SPDP),A,https://www.ipdps.org/,2026-10-01,2026-10-08,,,parallel computation,IPDPS is an international forum for engineers and scientists from around the world to present their latest research findings in all aspects of parallel computation.,Workshops: None,10,Success (Official Site)
ISSRE,International Symposium on Software Reliability Engineering,A,N/A,,,,,"reliability modeling, testing, verification, fault tolerance, software quality assurance","Innovative techniques and tools for assessing, predicting, and improving the reliability, safety, and security of software systems.",N/A,10,Wrong Edition / Date Not Found
ISSTA,International Symposium on Software Testing and Analysis,A,N/A,,,,,,,N/A,10,Wrong Edition / Date Not Found
Middleware,ACM/IFIP/USENIX International Middleware Conference,A,,,,,,,,,10,Wrong Edition / Date Not Found
Mobisys,"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",A,https://mcyphi.um.edu.vn/anhnguyen/,,,,,,,,5,Wrong Edition / Date Not Found
MODELS,"International Conference on Model Driven Engineering Languages and Systems (Previously UML, changed in 2005)",A,N/A,,,,,,,N/A,10,Wrong Edition / Date Not Found
MSR,IEEE International Working Conference on Mining Software Repositories,A,https://conf.researchr.org,,,,,"software analytics, data science, machine learning, artificial intelligence, qualitative methodologies, source control systems, defect tracking systems, code review repositories, CI build servers, run-time telemetry","Premier venue for software analytics research, where software engineering data is analyzed using a combination of data science, machine learning/artificial intelligence, and qualitative methodologies.",Mining Challenge: None,9,Wrong Edition / Date Not Found
MSWIM,"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems",A,,,,,,,,,10,Wrong Edition / Date Not Found
OOPSLA,ACM Conference on Object Oriented Programming Systems Languages and Applications,A,N/A,,,,,,,N/A,0,Wrong Edition / Date Not Found
